 ,AUROC,AUPRC,accuracy
0,0.919702311,0.936772678,0.841644205
1,0.928637323,0.935345237,0.856469003
2,0.904439026,0.924488698,0.832771409
3,0.90874338,0.922230613,0.842991914
4,0.93379327,0.948207191,0.863115307
