 ,AUROC,AUPRC,accuracy
0,0.806357103,0.49579216,0.967001435
1,0.742841349,0.459722038,0.961262554
2,0.759812051,0.449948746,0.962697274
3,0.810116086,0.490369736,0.972740316
4,0.760088447,0.459553481,0.968436155
