 ,AUROC,AUPRC,accuracy
0,0.873645634,0.425654956,0.940966011
1,0.880603357,0.448514143,0.937388193
2,0.87311451,0.407448336,0.940966011
3,0.871574251,0.482249757,0.948121646
4,0.854684512,0.476243018,0.939177102
