 ,AUROC,AUPRC,accuracy
0,0.797515739,0.214232581,0.960294118
1,0.829504849,0.257962194,0.942647059
2,0.804151778,0.218798506,0.961764706
3,0.788497533,0.173246998,0.960294118
4,0.803244286,0.278329229,0.960294118
