Experiment,AUROC,AUPRC,accuracy
0,0.622621107,0.631190969,0.492091388
1,0.632093254,0.620810265,0.598591549
2,0.627746065,0.647218712,0.495606327
3,0.725957736,0.703821973,0.492091388
4,0.63014935,0.635994104,0.513181019
