Experiment,AUROC,AUPRC,accuracy
0,0.846480869,0.423511645,0.955350269
1,0.794337571,0.338700617,0.963818322
2,0.778243919,0.357594629,0.956120092
3,0.851032235,0.405040953,0.966127791
4,0.747986143,0.313500515,0.029253272
