Experiment,AUROC,AUPRC,accuracy
0,0.605379366,0.62903435,0.47
1,0.7088,0.764259706,0.5
2,0.643797367,0.620819925,0.542288557
3,0.652260904,0.642749352,0.51
4,0.504504505,0.650008755,0.63
