Experiment,AUROC,AUPRC,accuracy
0,0.695510735,0.100780508,0.960972018
1,0.718776265,0.105269187,0.973490427
2,0.707816025,0.094564471,0.96539028
3,0.708020161,0.096657485,0.968335788
4,0.730138076,0.113224944,0.960972018
