Experiment,AUROC,AUPRC,accuracy
0,0.682016396,0.750182906,0.623376623
1,0.628232759,0.710377788,0.681818182
2,0.638425926,0.734334214,0.675324675
3,0.613338192,0.731885285,0.668831169
4,0.650303,0.709093,0.454545
