Experiment,AUROC,AUPRC,accuracy
0,0.6875,0.944455488,0.888888889
1,0.75,0.968564718,0.888888889
2,0.823529412,0.989268551,0.944444444
3,0.492424242,0.92529985,0.891891892
4,0.822222222,0.962944343,0.833333333
