Experiment,AUROC,AUPRC,accuracy
0,0.741612,0.335116,0.941092
1,0.788501,0.378015,0.969828
2,0.782667,0.366985,0.95977
3,0.787820805,0.413221119,0.94612069
4,0.730317818,0.350646164,0.956896552
