Experiment,AUROC,AUPRC,accuracy
0,0.682433,0.288638,0.831541
1,0.629734501,0.271481964,0.831541219
2,0.672047,0.277927,0.835125
3,0.690166172,0.346756584,0.818996416
4,0.649626,0.264919,0.849462
,,,
,,,
,,,
,,,
,,,
,,,
,,,
