Experiment,AUROC,AUPRC,accuracy
0,0.848980709,0.632151311,0.780487805
1,0.792259,0.539105,0.704268
2,0.807787,0.568823,0.78252
3,0.816346915,0.589037679,0.771341463
4,0.826100294,0.591624499,0.771341463
