Experiment,AUROC,AUPRC,accuracy
0,0.730596511,0.253949659,0.869934025
1,0.706753501,0.319416683,0.863336475
2,0.707404,0.260256,0.876532
3,0.734009,0.261562,0.882187
4,0.692843,0.247062,0.883129
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
