Experiment,AUROC,AUPRC,accuracy
0,0.666666667,0.929378776,0.862068966
1,0.75,0.953788457,0.142857143
2,0.916666667,0.987637363,0.857142857
3,0.5,0.920494119,0.896551724
4,0.583333333,0.926260776,0.857142857
