Experiment,AUROC,AUPRC,accuracy
0,0.83391,0.443554,0.867173
1,0.841182,0.434254,0.901328
2,0.808907,0.419033,0.905123
3,0.846578,0.409165,0.92315
4,0.82777,0.42698,0.872594
