Experiment,AUROC,AUPRC,accuracy
0,0.760476,0.760358,0.715
1,0.754475448,0.752382409,0.695
2,0.759076,0.761755,0.7
3,0.665257649,0.716373514,0.61
4,0.635260909,0.736064294,0.65497076
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
