Experiment,AUROC,AUPRC,accuracy
0,0.797057814,0.284864199,0.841897233
1,0.808427,0.260596,0.910435
2,0.772628,0.288789,0.916996
3,0.799279,0.259065,0.831553
4,0.785754,0.30077,0.905138
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
