Experiment,AUROC,AUPRC,accuracy
0,0.897465887,0.512945675,0.937716263
1,0.885867039,0.476737627,0.906614786
2,0.917514374,0.597634137,0.914396887
3,0.916850951,0.579871685,0.898832685
4,0.811111111,0.480134077,0.940092166
