Experiment,AUROC,AUPRC,accuracy
0,0.79278709,0.613968165,0.891600861
1,0.795783326,0.580128746,0.918880115
2,0.781350754,0.565962857,0.862167983
3,0.804645431,0.57167329,0.897343862
4,0.783486099,0.562725182,0.857142857
