Experiment,AUROC,AUPRC,accuracy
0,0.813358779,0.224368272,0.879234168
1,0.785872,0.196291,0.798485
2,0.803817,0.225374,0.801915
3,0.796758,0.197312,0.798485
4,0.785872,0.196291,0.798485
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
