Experiment,AUROC,AUPRC,accuracy
0,0.824414299,0.295625598,0.745580323
1,0.815263966,0.28034931,0.846275753
2,0.823207,0.286404,0.790016
3,0.814213,0.283101,0.808241
4,0.843387602,0.278831344,0.838103025
,,,
,,,
,,,
,,,
