Experiment,AUROC,AUPRC,accuracy
0,0.695762,0.701246,0.601662
1,0.713012201,0.712842588,0.650537634
2,0.727765832,0.704812681,0.660478749
3,0.678294,0.694781,0.580156
4,0.692963,0.694798,0.620235
,,,
,,,
,,,
,,,
