Experiment,AUROC,AUPRC,accuracy
0,0.858454,0.810129,0.791733
1,0.860636,0.804165,0.759406
2,0.869871,0.804585,0.747218
3,0.872328251,0.804226546,0.800741918
4,0.854401,0.793088,0.785904
,,,
,,,
,,,
,,,
,,,
