Experiment,AUROC,AUPRC,accuracy
0,0.692154,0.414688,0.779817
1,0.730116,0.43986,0.850604
2,0.731986,0.424596,0.826425
3,0.804147,0.464277,0.887069
4,0.785044,0.425271,0.843103
