 ,AUROC,AUPRC,accuracy
0,0.796656093,0.456772688,0.953488372
1,0.895810956,0.600972328,0.966190834
2,0.882332315,0.624263134,0.958739685
3,0.851648352,0.532851403,0.962490623
4,0.824635222,0.499175929,0.960990248
